Товар	Площадка	Маркетплейс	Ссылка	Статус	Источник
световой стол	vk	WB	https://foxlik.mobz.link/43287163vk	живая	замер 02.09: страница «Переходим на wildberries», utm_source=vk, диплинк в приложение WB
световой стол	instagram	WB	https://foxlik.mobz.link/43287163ig	живая	замер 02.09: utm_source=instagram
световой стол	telegram	WB	https://foxlik.mobz.link/43287163tg	живая	замер 02.09: utm_source=tg
световой стол	pinterest	WB	https://foxlik.mobz.link/43287163pin	живая	замер 02.09: 🔴 utm_source=yandex, а не pinterest - метка Анны настроена неверно
столешница Конструктор	vk	WB	https://foxlik.mobz.link/43287165vk	живая	замер 02.09
столешница Конструктор	instagram	WB	https://foxlik.mobz.link/43287165Ig	живая	замер 02.09: 🔴 суффикс с ЗАГЛАВНОЙ I, «ig» строчными не открывается
столешница Конструктор	telegram	WB	https://foxlik.mobz.link/43287165tG	живая	замер 02.09: 🔴 суффикс «tG»
столешница Конструктор	pinterest	WB	https://foxlik.mobz.link/43287165Pin	живая	замер 02.09
световой планшет	vk	WB	https://foxlik.mobz.link/79693129vkS	живая	замер 02.09: 🔴 у этого товара все суффиксы с хвостом «S»
световой планшет	instagram	WB	https://foxlik.mobz.link/79693129iGS	живая	замер 02.09
световой планшет	telegram	WB	https://foxlik.mobz.link/79693129tgS	живая	замер 02.09
световой планшет	pinterest	WB	https://foxlik.mobz.link/79693129pinS	живая	замер 02.09
полка	vk	WB	https://foxlik.mobz.link/150827738vk	живая	замер 02.09
полка	instagram	WB	https://foxlik.mobz.link/150827738iG	живая	замер 02.09: 🔴 суффикс «iG»
полка	telegram	WB	https://foxlik.mobz.link/150827738Tg	живая	замер 02.09: 🔴 суффикс «Tg»
полка	pinterest	WB	https://foxlik.mobz.link/150827738Pin	живая	замер 02.09
световой стол	youtube	WB	https://foxlik.mobz.link/43287163yt	живая	заведена агентом 02.09 в кабинете Mobzio, проверена: ведет на 43287163, utm_source=youtube
столешница Конструктор	youtube	WB	https://foxlik.mobz.link/43287165yt	живая	заведена агентом 02.09, проверена
световой планшет	youtube	WB	https://foxlik.mobz.link/79693129yt	живая	заведена агентом 02.09, проверена
полка	youtube	WB	https://foxlik.mobz.link/150827738yt	живая	заведена агентом 02.09, проверена
световой стол	vk	Ozon	https://foxlik.mobz.link/646406042vk	живая	заведена агентом 02.09, проверена: Ozon 646406042, utm_source=vk
световой стол	youtube	Ozon	https://foxlik.mobz.link/646406042yt	живая	заведена агентом 02.09, проверена
световой планшет	vk	Ozon	https://foxlik.mobz.link/623742389vk	живая	заведена агентом 02.09, проверена
световой планшет	youtube	Ozon	https://foxlik.mobz.link/623742389yt	живая	заведена агентом 02.09, проверена
полка	vk	Ozon	https://foxlik.mobz.link/897275135vk	живая	заведена агентом 02.09, проверена
полка	youtube	Ozon	https://foxlik.mobz.link/897275135yt	живая	заведена агентом 02.09, проверена
